kepoi_name,status
K04495.01,CANDIDATE
K04496.01,CANDIDATE
K07681.01,CANDIDATE
K00701.05,CONFIRMED
K04563.01,CANDIDATE
K03165.01,CANDIDATE
K04564.01,FALSE_POSITIVE
K04565.01,FALSE_POSITIVE
K04566.01,CONFIRMED
K04635.01,FALSE_POSITIVE
K04636.01,CANDIDATE
K04637.01,CANDIDATE
K04638.01,FALSE_POSITIVE
K04639.01,FALSE_POSITIVE
K04707.01,FALSE_POSITIVE
K04708.01,FALSE_POSITIVE
K04709.01,CANDIDATE
K04710.01,CANDIDATE
K04711.01,CANDIDATE
K03158.03,CONFIRMED
K04497.01,CANDIDATE
K04498.01,CANDIDATE
K04499.01,CANDIDATE
K04500.01,CONFIRMED
K04567.01,CANDIDATE
K04568.01,FALSE_POSITIVE
K07682.01,FALSE_POSITIVE
K04569.01,FALSE_POSITIVE
K04570.01,CANDIDATE
K04571.01,CONFIRMED
K04639.02,FALSE_POSITIVE
K04640.01,CONFIRMED
K04641.01,FALSE_POSITIVE
K04642.01,FALSE_POSITIVE
K03184.01,CONFIRMED
K04722.01,FALSE_POSITIVE
K03197.01,CANDIDATE
K04723.01,FALSE_POSITIVE
K04724.01,FALSE_POSITIVE
K04725.01,CONFIRMED
K04726.01,FALSE_POSITIVE
K04500.02,CONFIRMED
K04501.01,FALSE_POSITIVE
K04502.01,FALSE_POSITIVE
K04503.01,CANDIDATE
K04504.01,CANDIDATE
K04572.01,FALSE_POSITIVE
K04573.01,FALSE_POSITIVE
K03167.01,FALSE_POSITIVE
K04574.01,FALSE_POSITIVE
K04575.01,CANDIDATE
K04643.01,CANDIDATE
K04644.01,CANDIDATE
K04645.01,FALSE_POSITIVE
K04646.01,FALSE_POSITIVE
K04647.01,CANDIDATE
K04712.01,FALSE_POSITIVE
K03196.02,CANDIDATE
K04713.01,CANDIDATE
K04714.01,CANDIDATE
K04715.01,CANDIDATE
K04716.01,CANDIDATE
K04504.02,CANDIDATE
K03158.04,CONFIRMED
K04505.01,CANDIDATE
K04506.01,CONFIRMED
K04507.01,FALSE_POSITIVE
K04508.01,CANDIDATE
K04576.01,FALSE_POSITIVE
K04577.01,CANDIDATE
K04578.01,FALSE_POSITIVE
K04579.01,FALSE_POSITIVE
K04580.01,CANDIDATE
K04648.01,FALSE_POSITIVE
K04649.01,CANDIDATE
K04650.01,FALSE_POSITIVE
K04651.01,CANDIDATE
K04652.01,FALSE_POSITIVE
K04717.01,CANDIDATE
K04718.01,FALSE_POSITIVE
K04719.01,FALSE_POSITIVE
K04720.01,FALSE_POSITIVE
K04721.01,FALSE_POSITIVE
K04509.01,CANDIDATE
K04510.01,CONFIRMED
K04511.01,FALSE_POSITIVE
K04512.01,FALSE_POSITIVE
K04513.01,CONFIRMED
K04581.01,CANDIDATE
K04582.01,CANDIDATE
K04583.01,CANDIDATE
K03168.01,CANDIDATE
K04584.01,FALSE_POSITIVE
K03185.01,FALSE_POSITIVE
K04653.01,CANDIDATE
K04654.01,FALSE_POSITIVE
K04655.01,CANDIDATE
K04656.01,CANDIDATE
K04727.01,FALSE_POSITIVE
K04728.01,FALSE_POSITIVE
K04729.01,FALSE_POSITIVE
K04730.01,CANDIDATE
K04731.01,FALSE_POSITIVE
K04514.01,FALSE_POSITIVE
K03158.05,CONFIRMED
K04515.01,FALSE_POSITIVE
K04516.01,FALSE_POSITIVE
K04517.01,FALSE_POSITIVE
K07693.01,CANDIDATE
K04585.01,CONFIRMED
K04586.01,CANDIDATE
K04587.01,CANDIDATE
K04588.01,CANDIDATE
K04589.01,FALSE_POSITIVE
K07675.01,FALSE_POSITIVE
K04657.01,CANDIDATE
K04658.01,FALSE_POSITIVE
K04659.01,CONFIRMED
K04660.01,FALSE_POSITIVE
K04661.01,CONFIRMED
K04448.01,FALSE_POSITIVE
K04449.01,FALSE_POSITIVE
K04450.01,CONFIRMED
K04451.01,CANDIDATE
K04452.01,CANDIDATE
K04518.01,FALSE_POSITIVE
K07685.02,CANDIDATE
K04519.01,CANDIDATE
K04520.01,CANDIDATE
K04521.01,FALSE_POSITIVE
K04522.01,FALSE_POSITIVE
K04590.01,CANDIDATE
K07694.01,FALSE_POSITIVE
K04591.01,CANDIDATE
K04592.01,FALSE_POSITIVE
K04593.01,FALSE_POSITIVE
K00750.02,CANDIDATE
K04662.01,FALSE_POSITIVE
K03188.01,FALSE_POSITIVE
K07676.01,CANDIDATE
K04663.01,CANDIDATE
K04664.01,FALSE_POSITIVE
K04665.01,FALSE_POSITIVE
K04453.01,FALSE_POSITIVE
K04454.01,FALSE_POSITIVE
K04455.01,FALSE_POSITIVE
K04456.01,CANDIDATE
K04457.01,CANDIDATE
K04523.01,CANDIDATE
K04524.01,CONFIRMED
K03159.01,FALSE_POSITIVE
K07686.01,FALSE_POSITIVE
K04524.02,CANDIDATE
K04525.01,FALSE_POSITIVE
K03172.02,FALSE_POSITIVE
K04594.01,FALSE_POSITIVE
K04595.01,CANDIDATE
K04596.01,FALSE_POSITIVE
K04597.01,CANDIDATE
K04666.01,CANDIDATE
K04667.01,CANDIDATE
K04668.01,FALSE_POSITIVE
K04669.01,FALSE_POSITIVE
K04670.01,CANDIDATE
K03061.02,CANDIDATE
K04458.01,FALSE_POSITIVE
K04459.01,FALSE_POSITIVE
K04460.01,CANDIDATE
K04461.01,FALSE_POSITIVE
K04526.01,CANDIDATE
K07683.01,FALSE_POSITIVE
K04527.01,FALSE_POSITIVE
K04528.01,CANDIDATE
K04529.01,FALSE_POSITIVE
K04530.01,CANDIDATE
K04598.01,FALSE_POSITIVE
K04599.01,FALSE_POSITIVE
K07687.01,CANDIDATE
K04600.01,FALSE_POSITIVE
K04601.01,CANDIDATE
K04602.01,CANDIDATE
K04671.01,FALSE_POSITIVE
K04672.01,FALSE_POSITIVE
K03190.01,CANDIDATE
K04673.01,FALSE_POSITIVE
K04674.01,CANDIDATE
K04462.01,CANDIDATE
K04463.01,CANDIDATE
K04464.01,CANDIDATE
K04465.01,FALSE_POSITIVE
K07677.01,FALSE_POSITIVE
K04466.01,CANDIDATE
K04531.01,FALSE_POSITIVE
K04532.01,FALSE_POSITIVE
K04533.01,FALSE_POSITIVE
K03161.01,FALSE_POSITIVE
K04534.01,FALSE_POSITIVE
K04603.01,CANDIDATE
K03174.01,FALSE_POSITIVE
K04604.01,FALSE_POSITIVE
K04605.01,CANDIDATE
K04606.01,FALSE_POSITIVE
K04675.01,FALSE_POSITIVE
K04676.01,CANDIDATE
K04677.01,FALSE_POSITIVE
K04678.01,FALSE_POSITIVE
K04679.01,FALSE_POSITIVE
K04467.01,CANDIDATE
K03157.01,FALSE_POSITIVE
K04468.01,FALSE_POSITIVE
K04469.01,FALSE_POSITIVE
K04470.01,FALSE_POSITIVE
K04535.01,FALSE_POSITIVE
K04536.01,FALSE_POSITIVE
K04537.01,FALSE_POSITIVE
K07678.01,CANDIDATE
K04538.01,FALSE_POSITIVE
K04539.01,FALSE_POSITIVE
K04607.01,FALSE_POSITIVE
K04608.01,FALSE_POSITIVE
K04609.01,FALSE_POSITIVE
K04610.01,FALSE_POSITIVE
K04611.01,FALSE_POSITIVE
K04680.01,CANDIDATE
K04681.01,FALSE_POSITIVE
K04682.01,FALSE_POSITIVE
K03193.01,FALSE_POSITIVE
K04683.01,FALSE_POSITIVE
K04684.01,FALSE_POSITIVE
K04471.01,FALSE_POSITIVE
K04472.01,FALSE_POSITIVE
K04473.01,CONFIRMED
K04474.01,CONFIRMED
K04475.01,FALSE_POSITIVE
K04540.01,FALSE_POSITIVE
K07724.01,FALSE_POSITIVE
K04541.01,CANDIDATE
K04542.01,FALSE_POSITIVE
K04543.01,FALSE_POSITIVE
K03162.01,FALSE_POSITIVE
K04612.01,FALSE_POSITIVE
K04613.01,CONFIRMED
K03178.01,FALSE_POSITIVE
K04614.01,CANDIDATE
K04615.01,FALSE_POSITIVE
