"kepid","kepoi_name","kepler_name","koi_disposition","koi_pdisposition","koi_score","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_period","koi_period_err1","koi_period_err2","koi_time0bk","koi_time0bk_err1","koi_time0bk_err2","koi_impact","koi_impact_err1","koi_impact_err2","koi_duration","koi_duration_err1","koi_duration_err2","koi_depth","koi_depth_err1","koi_depth_err2","koi_prad","koi_prad_err1","koi_prad_err2","koi_teq","koi_teq_err1","koi_teq_err2","koi_insol","koi_insol_err1","koi_insol_err2","koi_model_snr","koi_tce_plnt_num","koi_tce_delivname","koi_steff","koi_steff_err1","koi_steff_err2","koi_slogg","koi_slogg_err1","koi_slogg_err2","koi_srad","koi_srad_err1","koi_srad_err2","ra","dec","koi_kepmag"
"11655826","K04643.01","","CANDIDATE","CANDIDATE","1.0000","0","0","0","0","5.593463750","4.2950000e-05","-4.2950000e-05","131.5075200","6.040000e-03","-6.040000e-03","0.0790","0.3780","-0.0790","1.66800","0.18000","-0.18000","2.3650e+02","2.870e+01","-2.870e+01","1.43","4.600e-01","-1.500e-01","1008.0","","","243.63","229.11","-74.74","9.50","1","q1_q17_dr25_tce","5874.00","164.00","-205.00","4.498","0.052","-0.208","0.9330","0.2970","-0.0990","288.448390","49.714031","15.308"
"1721157","K04644.01","","CANDIDATE","CANDIDATE","0.9700","0","0","0","0","3.449281110","2.1220000e-05","-2.1220000e-05","133.3822100","4.820000e-03","-4.820000e-03","0.5340","0.4320","-0.3170","1.42400","0.16400","-0.16400","2.3700e+02","2.920e+01","-2.920e+01","1.23","1.600e-01","-9.000e-02","966.0","","","206.55","91.39","-46.68","9.70","1","q1_q17_dr25_tce","5119.00","154.00","-139.00","4.591","0.024","-0.090","0.7810","0.1030","-0.0550","291.457340","37.206841","15.144"
"11076276","K04645.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","0","0","1","1.472585900","1.5220000e-05","-1.5220000e-05","132.9273100","7.930000e-03","-7.930000e-03","0.3770","0.0880","-0.3770","2.95300","0.26300","-0.26300","8.4400e+01","8.000e+00","-8.000e+00","0.93","3.100e-01","-1.000e-01","1662.0","","","1801.98","1821.35","-583.48","13.30","1","q1_q17_dr25_tce","6077.00","190.00","-232.00","4.471","0.054","-0.216","0.9990","0.3330","-0.1110","287.645660","48.638821","15.117"
"12012439","K04646.01","","FALSE POSITIVE","FALSE POSITIVE","","0","0","0","1","2.976079350","3.7610000e-05","-3.7610000e-05","132.9530000","1.100000e-02","-1.100000e-02","0.7955","0.1695","-0.5903","4.60600","0.27800","-0.27800","1.3040e+02","1.070e+01","-1.070e+01","1.10","4.400e-01","-9.000e-02","1144.0","","","404.28","495.90","-99.84","14.10","","","5547.00","175.00","-157.00","4.534","0.034","-0.275","0.8650","0.3480","-0.0700","291.212460","50.453560","15.331"
"9947653","K04647.01","","CANDIDATE","CANDIDATE","0.9860","0","0","0","0","37.904388900","8.1950000e-04","-8.1950000e-04","163.7386000","1.400000e-02","-1.400000e-02","0.4730","0.0530","-0.4220","11.63800","0.46300","-0.46300","9.8200e+01","7.700e+00","-7.700e+00","1.97","7.700e-01","-1.160e+00","693.0","","","54.36","65.86","-46.27","13.90","1","q1_q17_dr25_tce","5303.00","175.00","-159.00","3.870","0.630","-0.270","1.9640","0.7730","-1.1590","290.259310","46.885109","13.726"
"4374610","K04712.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","1","1","0","1.444384490","1.5070000e-05","-1.5070000e-05","132.7564500","7.400000e-03","-7.400000e-03","0.4660","0.5020","-0.2620","2.70400","0.24000","-0.24000","7.5400e+01","8.200e+00","-8.200e+00","1.08","3.200e-01","-1.200e-01","1980.0","","","3622.28","3031.35","-1169.93","10.80","1","q1_q17_dr25_tce","6667.00","164.00","-234.00","4.358","0.069","-0.173","1.2130","0.3530","-0.1410","294.041750","39.457371","14.815"
"9002538","K03196.02","","CANDIDATE","CANDIDATE","0.9830","0","0","0","0","6.882977560","4.9640000e-05","-4.9640000e-05","134.1642400","5.520000e-03","-5.520000e-03","0.7070","0.2470","-0.4670","2.06500","0.17700","-0.17700","3.0400e+01","2.900e+00","-2.900e+00","0.77","1.300e-01","-1.200e-01","1141.0","","","400.53","198.06","-137.92","13.20","2","q1_q17_dr25_tce","6117.00","135.00","-135.00","4.244","0.137","-0.112","1.2980","0.2210","-0.1990","283.350460","45.339111","11.525"
"5253802","K04713.01","","CANDIDATE","CANDIDATE","0.8170","0","0","0","0","8.796316600","1.0730000e-04","-1.0730000e-04","134.3262000","1.020000e-02","-1.020000e-02","0.9790","0.0180","-0.6930","4.69600","0.23800","-0.23800","9.6500e+01","9.700e+00","-9.700e+00","1.36","0.000e+00","0.000e+00","882.0","","","142.92","0.00","0.00","11.90","1","q1_q17_dr25_tce","5780.00","","","4.438","","","1.0000","","","283.838840","40.421974","13.641"
"12554634","K04714.01","","CANDIDATE","CANDIDATE","1.0000","0","0","0","0","2.049602348","8.7930000e-06","-8.7930000e-06","132.3263900","3.460000e-03","-3.460000e-03","0.4350","0.0560","-0.4130","1.06100","0.13600","-0.13600","1.8610e+02","2.240e+01","-2.240e+01","1.08","1.800e-01","-8.000e-02","1203.0","","","494.57","267.16","-122.06","11.30","1","q1_q17_dr25_tce","5356.00","159.00","-159.00","4.589","0.035","-0.112","0.7800","0.1330","-0.0610","289.181490","51.562538","15.277"
"6264750","K04715.01","","CANDIDATE","CANDIDATE","0.8440","0","0","0","0","53.285584000","1.1120000e-03","-1.1120000e-03","172.2970000","1.700000e-02","-1.700000e-02","0.7540","0.0570","-0.5270","6.49200","0.44500","-0.44500","1.5860e+02","1.710e+01","-1.710e+01","1.44","4.200e-01","-3.300e-01","537.0","","","19.63","17.36","-9.56","11.00","1","q1_q17_dr25_tce","6015.00","200.00","-200.00","4.297","0.236","-0.193","1.0570","0.3020","-0.2470","283.572690","41.695728","13.980"
"11290515","K04716.01","","CANDIDATE","CANDIDATE","0.9600","0","0","0","0","5.894333800","5.9730000e-05","-5.9730000e-05","134.1069200","8.220000e-03","-8.220000e-03","0.0030","0.4530","-0.0030","3.47500","0.26800","-0.26800","2.8900e+01","3.100e+00","-3.100e+00","0.61","1.200e-01","-5.000e-02","1092.0","","","335.90","170.65","-73.97","10.70","1","q1_q17_dr25_tce","5929.00","71.00","-83.00","4.357","0.081","-0.150","1.1450","0.2280","-0.1050","288.344880","49.021938","12.322"
"6520753","K04504.02","","CANDIDATE","CANDIDATE","0.8090","0","0","0","0","8.119343000","1.6020000e-04","-1.6020000e-04","135.1862000","1.680000e-02","-1.680000e-02","0.0320","0.4370","-0.0320","3.55800","0.41700","-0.41700","3.5040e+02","4.670e+01","-4.670e+01","1.50","3.400e-01","-1.500e-01","794.0","","","94.08","70.26","-27.31","8.20","2","q1_q17_dr25_tce","5490.00","199.00","-182.00","4.557","0.048","-0.143","0.8100","0.1870","-0.0800","291.294100","41.912830","15.956"
"6278762","K03158.04","Kepler-444 e","CONFIRMED","CANDIDATE","1.0000","0","0","0","0","7.743478010","3.0850000e-05","-3.0850000e-05","135.0941700","3.240000e-03","-3.240000e-03","0.0180","0.4330","-0.0180","2.78780","0.08870","-0.08870","7.7800e+01","3.500e+00","-3.500e+00","0.62","5.000e-02","-3.000e-02","727.0","","","65.88","22.15","-12.01","24.40","2","q1_q17_dr25_tce","5051.00","177.00","-141.00","4.562","0.033","-0.023","0.7210","0.0570","-0.0310","289.752290","41.634605","8.717"
"8493354","K04505.01","","CANDIDATE","CANDIDATE","0.9880","0","0","0","0","18.007143800","2.1470000e-04","-2.1470000e-04","138.3126600","8.560000e-03","-8.560000e-03","0.0810","0.3760","-0.0810","5.40100","0.27400","-0.27400","8.0800e+01","7.200e+00","-7.200e+00","1.05","1.800e-01","-1.200e-01","799.0","","","96.25","43.68","-25.08","13.10","1","q1_q17_dr25_tce","6173.00","83.00","-83.00","4.314","0.115","-0.126","1.1670","0.2030","-0.1360","291.099430","44.545689","13.615"
"4545570","K04506.01","Kepler-1961 b","CONFIRMED","CANDIDATE","0.9970","0","0","0","0","5.604731150","5.1040000e-05","-5.1040000e-05","131.6286100","7.630000e-03","-7.630000e-03","0.2210","0.2300","-0.2210","2.88500","0.24600","-0.24600","2.1000e+02","2.090e+01","-2.090e+01","1.11","1.900e-01","-9.000e-02","866.0","","","132.98","71.42","-34.17","11.90","1","q1_q17_dr25_tce","5401.00","159.00","-159.00","4.593","0.035","-0.112","0.7770","0.1320","-0.0660","286.330110","39.683182","15.683"
