kepoi_name,exoplanet_archive_disposition,disposition_using_kepler_data,status,planet_like_prob,planet_like_label,kepid_x,kepler_name_x,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,kepid_y,kepler_name_y,koi_disposition,koi_pdisposition
K03515.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.03128187,0,3240159,,0.0,0,1,0,0,82.137609997,2.997e-06,-2.997e-06,196.1225133,2.92e-05,-2.92e-05,1.221,0.015,-0.015,6.11904,0.00272,-0.00272,210770.0,82.0,-82.0,197.85,43.17,-70.11,640.0,,,39.55,25.32,-24.67,3583.1,1.0,q1_q17_dr25_tce,6395.0,162.0,-162.0,3.904,0.307,-0.102,2.012,0.439,-0.713,292.71317,38.369659,12.261,3240159,,FALSE POSITIVE,FALSE POSITIVE
K07766.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.047831,0,6147851,,0.001,0,0,1,0,3.06026014,4.047e-05,-4.047e-05,132.762,0.0101,-0.0101,0.675,0.027,-0.504,2.545,0.418,-0.418,59.9,9.2,-9.2,0.83,0.24,-0.1,1284.0,,,642.06,542.52,-205.54,10.1,1.0,q1_q17_dr25_tce,5878.0,158.0,-176.0,4.426,0.087,-0.203,1.01,0.291,-0.125,298.13965,41.417229,14.255,6147851,,FALSE POSITIVE,FALSE POSITIVE
K03516.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0045477264,0,9658118,,0.0,0,1,0,0,24.0612744,4.604e-05,-4.604e-05,138.38747,0.00176,-0.00176,0.461,0.007,-0.006,19.9438,0.0236,-0.0236,440150.0,467.0,-467.0,83.77,24.29,-13.1,749.0,,,74.37,63.84,-29.18,1161.1,1.0,q1_q17_dr25_tce,6461.0,181.0,-250.0,4.338,0.108,-0.186,1.138,0.33,-0.178,295.36603,46.377232,14.158,9658118,,FALSE POSITIVE,FALSE POSITIVE
K03517.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0052267336,0,7132542,,0.0,0,1,0,0,66.36099916,2.08e-05,-2.08e-05,168.379642,0.000255,-0.000255,0.486,0.005,-0.005,20.0614,0.0145,-0.0145,416740.0,271.0,-271.0,61.42,14.26,-8.82,420.0,,,7.33,5.21,-2.58,1866.7,1.0,q1_q17_dr25_tce,5583.0,169.0,-169.0,4.463,0.121,-0.162,0.857,0.199,-0.123,295.88522,42.62188,15.327,7132542,,FALSE POSITIVE,FALSE POSITIVE
K03518.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.03803893,0,8589754,,0.0,0,1,0,0,8.939461148,1.089e-06,-1.089e-06,133.013944,0.000129,-0.000129,0.558,0.005,-0.005,6.19136,0.0034,-0.0034,357830.0,178.0,-178.0,153.32,31.76,-68.77,1407.0,,,926.24,581.32,-682.11,2427.5,1.0,q1_q17_dr25_tce,6461.0,181.0,-227.0,3.846,0.456,-0.114,2.225,0.461,-0.998,300.79001,44.6534,14.002,8589754,,FALSE POSITIVE,FALSE POSITIVE
K03520.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.023875851,0,3757590,,0.695,0,1,0,0,135.58607679,2.542e-06,-2.542e-06,177.9285627,1.61e-05,-1.61e-05,0.549,0.002,-0.002,5.54241,0.00099,-0.00099,363130.0,59.3,-59.3,89.83,15.32,-6.15,429.0,,,7.99,3.43,-1.43,6788.8,1.0,q1_q17_dr25_tce,6401.0,69.0,-88.0,4.324,0.04,-0.112,1.301,0.222,-0.089,294.14371,38.877392,13.674,3757590,,FALSE POSITIVE,FALSE POSITIVE
K03598.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.006145162,0,2437149,,0.0,0,1,0,0,18.79862195,1.537e-05,-1.537e-05,138.028268,0.000598,-0.000598,0.524,0.018,-0.017,7.4782,0.0179,-0.0179,380200.0,860.0,-860.0,55.07,10.66,-4.56,575.0,,,25.91,16.39,-6.99,551.3,1.0,q1_q17_dr25_tce,5334.0,185.0,-185.0,4.585,0.03,-0.128,0.796,0.154,-0.066,290.20575,37.769138,17.628,2437149,,FALSE POSITIVE,FALSE POSITIVE
K03599.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0012888402,0,9715925,,0.0,0,1,0,0,6.30828538,1.295e-06,-1.295e-06,134.379945,0.000186,-0.000186,0.69,0.015,-0.013,2.48633,0.00712,-0.00712,113530.0,356.0,-356.0,29.34,3.23,-3.24,803.0,,,98.21,42.48,-30.71,559.2,1.0,q1_q17_dr25_tce,5069.0,194.0,-176.0,4.524,0.08,-0.064,0.78,0.086,-0.086,294.16446,46.423988,16.515,9715925,,FALSE POSITIVE,FALSE POSITIVE
K03600.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0016857248,0,9529733,,0.0,0,1,0,0,4.80912667,1.631e-05,-1.631e-05,134.07939,0.00279,-0.00279,0.471,0.003,-0.005,7.9331,0.0124,-0.0124,134090.0,168.0,-168.0,44.3,14.47,-5.17,1270.0,,,615.74,593.32,-204.35,1033.2,1.0,q1_q17_dr25_tce,6462.0,179.0,-246.0,4.371,0.07,-0.21,1.166,0.381,-0.136,293.2088,46.173061,14.038,9529733,,FALSE POSITIVE,FALSE POSITIVE
K03601.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.09857045,0,9613070,,0.0,0,1,0,0,2.33211505,3.188e-06,-3.188e-06,132.19683,0.00113,-0.00113,1.747,0.303,-0.157,2.96723,0.00921,-0.00921,105950.0,142.0,-142.0,140.22,39.73,-24.48,1594.0,,,1530.05,1284.72,-639.83,997.8,1.0,q1_q17_dr25_tce,6384.0,179.0,-247.0,4.348,0.124,-0.186,1.094,0.31,-0.191,300.15649,46.20332,14.087,9613070,,FALSE POSITIVE,FALSE POSITIVE
K01875.02,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.9931131,1,9967771,Kepler-990 c,1.0,0,0,0,0,0.53835407,6.75e-07,-6.75e-07,131.64999,0.00101,-0.00101,0.334,0.116,-0.334,1.5045,0.0326,-0.0326,190.2,4.8,-4.8,1.67,0.24,-0.33,2386.0,,,7609.22,2977.95,-2913.75,46.6,1.0,q1_q17_dr25_tce,5539.0,83.0,-74.0,4.244,0.174,-0.101,1.207,0.175,-0.233,297.9382,46.881401,14.498,9967771,Kepler-990 c,CONFIRMED,CANDIDATE
K03602.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.005931755,0,10845188,,0.0,0,1,0,0,249.36211832,8.706e-05,-8.706e-05,279.658296,0.000211,-0.000211,1.17,0.118,-0.066,8.3559,0.0119,-0.0119,35830.0,49.2,-49.2,48.69,13.42,-8.93,308.0,,,2.14,1.73,-0.86,846.1,1.0,q1_q17_dr25_tce,5940.0,159.0,-159.0,4.352,0.162,-0.18,1.02,0.281,-0.187,283.55252,48.222939,13.867,10845188,,FALSE POSITIVE,FALSE POSITIVE
K01627.03,CANDIDATE,CANDIDATE,CANDIDATE,0.99645597,1,6543893,,0.986,0,0,0,0,3.80675878,4.889e-05,-4.889e-05,133.7492,0.00924,-0.00924,0.26,0.195,-0.26,2.092,0.218,-0.218,231.9,25.8,-25.8,2.75,0.45,-0.62,1574.0,,,1449.04,623.13,-626.79,10.4,3.0,q1_q17_dr25_tce,6068.0,82.0,-82.0,4.04,0.182,-0.112,1.797,0.295,-0.406,297.58313,41.952431,15.767,6543893,,CANDIDATE,CANDIDATE
K07736.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0011387202,0,5709103,,0.0,0,1,1,0,0.664727127,6.678e-06,-6.678e-06,131.63516,0.00806,-0.00806,0.382,0.116,-0.382,1.561,0.397,-0.397,16.2,3.3,-3.3,0.46,0.07,-0.05,2343.0,,,7149.67,3165.89,-1852.86,7.6,1.0,q1_q17_dr25_tce,6143.0,83.0,-92.0,4.344,0.11,-0.121,1.116,0.189,-0.126,292.93295,40.986401,12.879,5709103,,FALSE POSITIVE,FALSE POSITIVE
K03374.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.99907815,1,6705026,Kepler-1483 b,0.969,0,0,0,0,9.5084871,0.0001156,-0.0001156,140.5602,0.0101,-0.0101,0.143,0.312,-0.143,4.372,0.246,-0.246,97.9,8.4,-8.4,1.65,0.33,-0.33,1131.0,,,386.61,199.91,-151.96,13.3,1.0,q1_q17_dr25_tce,6144.0,80.0,-80.0,4.106,0.159,-0.13,1.668,0.334,-0.334,295.40979,42.150829,14.44,6705026,Kepler-1483 b,CONFIRMED,CANDIDATE
K03374.02,CANDIDATE,CANDIDATE,CANDIDATE,0.99959284,1,6705026,,0.949,0,0,0,0,34.1086562,0.0007045,-0.0007045,158.431,0.0155,-0.0155,0.318,0.134,-0.318,6.405,0.455,-0.455,133.8,12.0,-12.0,1.95,0.38,-0.39,739.0,,,70.4,36.4,-27.67,11.7,2.0,q1_q17_dr25_tce,6144.0,80.0,-80.0,4.106,0.159,-0.13,1.668,0.334,-0.334,295.40979,42.150829,14.44,6705026,,CANDIDATE,CANDIDATE
K03375.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.9976648,1,6779726,Kepler-1918 b,0.999,0,0,0,0,47.0563327,0.0007067,-0.0007067,173.9653,0.0124,-0.0124,0.361,0.088,-0.361,4.807,0.351,-0.351,762.0,75.6,-75.6,2.57,0.75,-0.32,497.0,,,14.43,12.76,-4.84,12.1,1.0,q1_q17_dr25_tce,5889.0,186.0,-206.0,4.492,0.065,-0.208,0.924,0.268,-0.115,292.53055,42.214649,15.695,6779726,Kepler-1918 b,CONFIRMED,CANDIDATE
K03376.02,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0048310836,0,3098843,,,0,0,1,0,179.85022331,,,225.3762426,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,286.23264,38.202888,14.372,3098843,,FALSE POSITIVE,FALSE POSITIVE
K03377.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9975914,1,5553959,,1.0,0,0,0,0,10.0100312,4.724e-05,-4.724e-05,131.61434,0.00383,-0.00383,0.07,0.374,-0.07,1.35,0.121,-0.121,375.8,37.3,-37.3,0.99,0.07,-0.11,506.0,,,15.56,4.29,-4.69,12.4,1.0,q1_q17_dr25_tce,4338.0,117.0,-143.0,4.731,0.065,-0.035,0.508,0.036,-0.054,297.05066,40.717419,15.318,5553959,,CANDIDATE,CANDIDATE
K03443.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.9994579,1,7288306,Kepler-1503 b,0.985,0,0,0,0,96.169569,0.001086,-0.001086,170.2581,0.00954,-0.00954,0.049,0.411,-0.049,7.496,0.275,-0.275,894.5,52.0,-52.0,2.07,0.33,-0.14,321.0,,,2.52,1.3,-0.58,20.0,1.0,q1_q17_dr25_tce,5340.0,160.0,-160.0,4.633,0.036,-0.09,0.702,0.112,-0.048,293.72717,42.806759,15.796,7288306,Kepler-1503 b,CONFIRMED,CANDIDATE
K07748.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.010827627,0,5887393,,0.048,0,0,1,0,1.55090374,1.188e-05,-1.188e-05,131.61966,0.00619,-0.00619,0.817,0.15,-0.575,3.028,0.193,-0.193,11.3,1.2,-1.2,1.11,0.15,-0.5,3190.0,,,24453.38,11051.11,-18327.66,11.8,1.0,q1_q17_dr25_tce,7612.0,211.0,-343.0,3.787,0.391,-0.092,2.968,0.418,-1.339,295.06284,41.124611,11.626,5887393,,FALSE POSITIVE,FALSE POSITIVE
K03444.01,CANDIDATE,CANDIDATE,CANDIDATE,0.996914,1,5384713,,1.0,0,0,0,0,12.67143692,9.149e-05,-9.149e-05,137.50707,0.00598,-0.00598,0.047,0.419,-0.047,2.498,0.178,-0.178,215.8,17.8,-17.8,0.76,0.04,-0.06,404.0,,,6.31,1.31,-1.3,13.7,3.0,q1_q17_dr25_tce,3705.0,74.0,-74.0,4.721,0.039,-0.021,0.529,0.03,-0.038,297.4292,40.561909,13.693,5384713,,CANDIDATE,CANDIDATE
K03444.02,CANDIDATE,CANDIDATE,CANDIDATE,0.99743265,1,5384713,,0.0,0,0,0,0,60.32668824,5.621e-05,-5.621e-05,145.057472,0.000747,-0.000747,0.974,24.4,-0.053,1.6864,0.0423,-0.0423,3146.7,67.5,-67.5,4.98,0.28,-0.36,240.0,,,0.79,0.16,-0.16,57.0,1.0,q1_q17_dr25_tce,3705.0,74.0,-74.0,4.721,0.039,-0.021,0.529,0.03,-0.038,297.4292,40.561909,13.693,5384713,,CANDIDATE,CANDIDATE
K03444.03,CANDIDATE,CANDIDATE,CANDIDATE,0.9929906,1,5384713,,0.977,0,0,0,0,2.63595435,1.757e-05,-1.757e-05,132.31984,0.00624,-0.00624,0.005,0.45,-0.005,1.309,0.193,-0.193,93.7,13.0,-13.0,0.5,0.03,-0.04,682.0,,,51.07,10.65,-10.49,9.2,2.0,q1_q17_dr25_tce,3705.0,74.0,-74.0,4.721,0.039,-0.021,0.529,0.03,-0.038,297.4292,40.561909,13.693,5384713,,CANDIDATE,CANDIDATE
K03445.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.999493,1,11860395,Kepler-1504 b,0.861,0,0,0,0,82.303914,0.00144,-0.00144,159.0461,0.0162,-0.0162,0.859,0.085,-0.606,15.404,0.466,-0.466,737.0,37.2,-37.2,4.47,0.65,-0.98,485.0,,,13.05,5.13,-5.51,22.3,1.0,q1_q17_dr25_tce,5602.0,84.0,-75.0,4.13,0.195,-0.09,1.425,0.208,-0.312,289.71201,50.128208,15.654,11860395,Kepler-1504 b,CONFIRMED,CANDIDATE
K03521.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.2561686,0,5456023,,0.0,0,1,0,0,131.97827736,6.99e-06,-6.99e-06,179.588119,4.04e-05,-4.04e-05,0.58,0.014,-0.014,7.14981,0.00378,-0.00378,345940.0,110.0,-110.0,147.83,79.88,-97.63,457.0,,,10.32,16.7,-9.26,3766.3,1.0,q1_q17_dr25_tce,4916.0,122.0,-146.0,3.717,0.9,-0.3,2.182,1.179,-1.441,294.03622,40.659191,14.313,5456023,,FALSE POSITIVE,FALSE POSITIVE
K07768.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0032799777,0,6187888,,0.0,0,0,1,1,0.789171236,7.857e-06,-7.857e-06,132.12333,0.00761,-0.00761,0.417,0.053,-0.417,1.734,0.266,-0.266,73.4,10.5,-10.5,0.69,0.04,-0.07,1527.0,,,1291.41,320.38,-369.95,9.0,1.0,q1_q17_dr25_tce,4776.0,129.0,-143.0,4.516,0.078,-0.045,0.811,0.048,-0.083,285.51688,41.534321,15.352,6187888,,FALSE POSITIVE,FALSE POSITIVE
K01806.02,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.99952185,1,9529744,Kepler-320 c,0.971,0,0,0,0,17.9346606,0.0001463,-0.0001463,138.21679,0.00583,-0.00583,0.976,0.048,-0.714,6.25,0.167,-0.167,142.7,7.4,-7.4,2.8,0.65,-0.79,1002.0,,,238.78,164.48,-128.98,18.8,2.0,q1_q17_dr25_tce,6426.0,175.0,-175.0,4.013,0.259,-0.13,1.775,0.411,-0.503,293.21356,46.175129,13.474,9529744,Kepler-320 c,CONFIRMED,CANDIDATE
K03522.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.015757516,0,12021387,,0.99,0,1,0,0,241.07074582,1.56e-05,-1.56e-05,223.9933126,4.86e-05,-4.86e-05,0.418,0.001,-0.001,9.88863,0.00332,-0.00332,70292.0,20.1,-20.1,76.53,11.85,-35.58,699.0,,,56.58,35.12,-45.95,4257.4,1.0,q1_q17_dr25_tce,9414.0,470.0,-941.0,3.883,0.36,-0.096,2.777,0.43,-1.291,295.91083,50.40976,10.656,12021387,,FALSE POSITIVE,FALSE POSITIVE
K03523.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0040274444,0,8044608,,0.0,0,1,0,0,106.17593813,4.737e-06,-4.737e-06,234.6409876,3.25e-05,-3.25e-05,0.718,0.003,-0.003,10.4168,0.0025,-0.0025,164740.0,38.5,-38.5,54.91,15.93,-14.44,441.0,,,8.94,7.6,-4.64,7056.8,1.0,q1_q17_dr25_tce,6038.0,163.0,-181.0,4.254,0.258,-0.172,1.141,0.331,-0.3,296.90405,43.823891,13.742,8044608,,FALSE POSITIVE,FALSE POSITIVE
K03524.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0120670805,0,8760135,,0.0,0,1,0,0,184.6467208,0.0001001,-0.0001001,151.98458,0.000445,-0.000445,0.492,0.009,-0.007,18.9869,0.0228,-0.0228,410270.0,449.0,-449.0,72.8,20.56,-8.83,320.0,,,2.49,2.07,-0.81,1113.2,1.0,q1_q17_dr25_tce,5713.0,154.0,-188.0,4.414,0.098,-0.196,1.023,0.289,-0.124,294.37128,44.924759,15.603,8760135,,FALSE POSITIVE,FALSE POSITIVE
K03525.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.037561014,0,4073707,,0.0,1,0,0,0,6.282033445,1.356e-06,-1.356e-06,131.590793,0.000196,-0.000196,1.777,0.116,-0.101,8.3777,0.018,-0.018,181790.0,199.0,-199.0,144.85,43.93,-18.85,1029.0,,,264.78,243.93,-93.44,1178.0,1.0,q1_q17_dr25_tce,6074.0,190.0,-233.0,4.45,0.084,-0.196,0.976,0.296,-0.127,295.61261,39.195709,14.118,4073707,,FALSE POSITIVE,FALSE POSITIVE
K03603.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.023698024,0,5730394,,0.0,0,1,0,0,5.519188936,8.48e-07,-8.48e-07,134.470023,0.00016,-0.00016,0.459,0.002,-0.002,7.1351,0.00485,-0.00485,217070.0,143.0,-143.0,43.06,10.81,-6.62,932.0,,,178.7,146.27,-66.07,2270.6,1.0,q1_q17_dr25_tce,5324.0,204.0,-167.0,4.439,0.124,-0.201,0.897,0.225,-0.138,298.06189,40.957291,16.117,5730394,,FALSE POSITIVE,FALSE POSITIVE
K07780.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9909928,1,6451368,,0.993,0,0,0,0,5.3360574,0.0001423,-0.0001423,132.605,0.0203,-0.0203,0.006,0.462,-0.006,3.877,0.737,-0.737,54.7,9.9,-9.9,1.52,0.31,-0.47,1667.0,,,1823.9,1091.05,-1051.66,7.0,1.0,q1_q17_dr25_tce,6742.0,163.0,-204.0,3.925,0.273,-0.117,2.032,0.417,-0.626,294.48404,41.869171,12.691,6451368,,CANDIDATE,CANDIDATE
K03604.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.02547867,0,6956216,,0.0,0,1,0,0,4.818863794,9.09e-07,-9.09e-07,131.677655,0.000212,-0.000212,0.486,0.003,-0.003,6.2625,0.00543,-0.00543,65936.0,39.9,-39.9,51.32,13.97,-22.71,1595.0,,,1529.01,1242.58,-1118.36,2048.7,1.0,q1_q17_dr25_tce,6313.0,181.0,-227.0,3.936,0.413,-0.138,1.935,0.527,-0.856,294.08777,42.489666,14.55,6956216,,FALSE POSITIVE,FALSE POSITIVE
K03605.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.039153066,0,6137704,,0.0,0,1,0,0,178.26802035,3.637e-05,-3.637e-05,255.351351,0.000169,-0.000169,1.135,0.05,-0.045,5.86461,0.00714,-0.00714,45754.0,54.3,-54.3,34.07,3.57,-3.58,256.0,,,1.02,0.38,-0.29,961.4,1.0,q1_q17_dr25_tce,5126.0,154.0,-138.0,4.578,0.078,-0.045,0.696,0.073,-0.073,295.83835,41.427319,14.16,6137704,,FALSE POSITIVE,FALSE POSITIVE
K03606.01,FALSE POSITIVE,FALSE POSITIVE,MODEL_POSITIVE,0.51436746,1,10275074,,0.0,0,1,0,0,2.181555909,2.901e-06,-2.901e-06,133.48675,0.00109,-0.00109,1.261,0.079,-0.107,4.41739,0.00717,-0.00717,85407.0,73.4,-73.4,91.3,30.85,-13.19,1730.0,,,2119.28,2061.43,-794.79,1548.2,1.0,q1_q17_dr25_tce,6584.0,162.0,-255.0,4.331,0.087,-0.203,1.246,0.421,-0.18,292.2677,47.394798,14.182,10275074,,FALSE POSITIVE,FALSE POSITIVE
K03607.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.11832385,0,9110346,,0.0,0,1,0,0,0.895276162,9.4e-08,-9.4e-08,131.6225645,8.87e-05,-8.87e-05,0.618,0.054,-0.028,3.0518,0.00475,-0.00475,319080.0,408.0,-408.0,172.25,81.47,-122.2,2731.0,,,13121.22,19727.29,-12141.68,932.1,1.0,q1_q17_dr25_tce,5242.0,191.0,-159.0,3.631,0.923,-0.308,2.55,1.206,-1.809,298.34192,45.407669,16.397,9110346,,FALSE POSITIVE,FALSE POSITIVE
K03608.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0034219932,0,10259301,,0.0,0,1,0,0,244.83274973,3.457e-05,-3.457e-05,285.7025679,9.55e-05,-9.55e-05,1.047,0.21,-0.098,4.37001,0.00703,-0.00703,40206.0,66.1,-66.1,38.3,11.38,-4.86,307.0,,,2.09,1.82,-0.68,733.5,1.0,q1_q17_dr25_tce,6105.0,164.0,-182.0,4.443,0.067,-0.202,0.993,0.295,-0.126,284.81525,47.392632,13.556,10259301,,FALSE POSITIVE,FALSE POSITIVE
K03379.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.9966348,1,2995392,Kepler-1484 b,0.99,0,0,0,0,30.4544418,0.000445,-0.000445,140.76863,0.00881,-0.00881,0.929,0.022,-0.665,6.896,0.192,-0.192,472.1,29.9,-29.9,2.6,0.82,-0.29,624.0,,,35.92,33.67,-11.41,17.3,1.0,q1_q17_dr25_tce,6283.0,176.0,-220.0,4.472,0.054,-0.216,0.984,0.312,-0.111,292.68427,38.126282,15.268,2995392,Kepler-1484 b,CONFIRMED,CANDIDATE
K03380.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.004980346,0,3120308,,0.0,0,0,1,1,10.26558924,6.415e-05,-6.415e-05,136.49645,0.00494,-0.00494,0.663,0.047,-0.486,3.879,0.164,-0.164,254.6,15.2,-15.2,1.65,0.48,-0.17,828.0,,,111.18,94.91,-32.22,18.8,1.0,q1_q17_dr25_tce,5774.0,156.0,-174.0,4.458,0.067,-0.202,0.98,0.285,-0.102,292.28778,38.27425,14.658,3120308,,FALSE POSITIVE,FALSE POSITIVE
K03382.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.2083775,0,9991621,,0.0,0,0,1,0,18.9257333,0.0002192,-0.0002192,145.5267,0.0107,-0.0107,1.155,70.05,-2.458,6.149,0.58,-0.58,188.5,14.4,-14.4,16.74,4.08,-2.73,639.0,,,39.47,29.22,-14.65,16.2,1.0,q1_q17_dr25_tce,5455.0,162.0,-146.0,4.421,0.153,-0.204,0.909,0.222,-0.148,281.18024,46.929901,13.857,9991621,,FALSE POSITIVE,FALSE POSITIVE
K03383.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.999757,1,8078502,Kepler-1919 b,0.916,0,0,0,0,37.8862977,0.000465,-0.000465,133.03141,0.00964,-0.00964,0.026,0.42,-0.026,5.218,0.273,-0.273,672.2,51.8,-51.8,2.09,0.48,-0.2,479.0,,,12.46,8.72,-3.49,14.4,1.0,q1_q17_dr25_tce,5513.0,166.0,-166.0,4.551,0.048,-0.143,0.818,0.187,-0.08,283.1319,43.955971,15.848,8078502,Kepler-1919 b,CONFIRMED,CANDIDATE
K03384.01,CANDIDATE,CANDIDATE,CANDIDATE,0.99904007,1,8644365,,1.0,0,0,0,0,10.54841329,5.467e-05,-5.467e-05,139.06402,0.00411,-0.00411,1.017,0.047,-0.786,1.872,0.143,-0.143,102.9,10.4,-10.4,3.89,0.65,-0.34,899.0,,,154.84,72.78,-37.23,11.7,2.0,q1_q17_dr25_tce,6047.0,120.0,-133.0,4.387,0.066,-0.123,1.092,0.181,-0.097,298.09543,44.737061,13.204,8644365,,CANDIDATE,CANDIDATE
K07749.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9986444,1,5888187,,0.656,0,0,0,0,133.6348207,0.0009309,-0.0009309,236.35163,0.00519,-0.00519,0.438,0.535,-0.232,1.584,0.2,-0.2,420.9,49.0,-49.0,1.89,0.12,-0.19,317.0,,,2.38,0.48,-0.57,10.8,1.0,q1_q17_dr25_tce,5202.0,83.0,-73.0,4.434,0.104,-0.048,0.918,0.058,-0.094,295.27301,41.168282,13.623,5888187,,CANDIDATE,CANDIDATE
K03446.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.00013530308,0,2852528,,0.0,0,1,1,1,11.9615433,0.0001818,-0.0001818,131.895,0.013,-0.013,0.576,0.384,-0.358,3.129,0.261,-0.261,424.5,41.3,-41.3,2.24,0.64,-0.23,847.0,,,121.71,106.72,-39.27,12.4,1.0,q1_q17_dr25_tce,6142.0,193.0,-258.0,4.456,0.05,-0.2,1.046,0.301,-0.108,291.46149,38.001808,15.709,2852528,,FALSE POSITIVE,FALSE POSITIVE
K03448.01,CANDIDATE,CANDIDATE,CANDIDATE,0.99158233,1,3348216,,0.982,0,0,0,0,32.510844,0.0002498,-0.0002498,136.62491,0.00636,-0.00636,0.421,0.036,-0.421,3.254,0.2,-0.2,361.9,32.8,-32.8,2.62,0.44,-0.39,680.0,,,50.56,22.15,-16.23,12.6,1.0,q1_q17_dr25_tce,6074.0,81.0,-90.0,4.244,0.125,-0.125,1.358,0.228,-0.205,292.96008,38.431431,14.863,3348216,,CANDIDATE,CANDIDATE
K01747.02,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.01683994,0,7032421,,,1,0,0,1,0.56683399,,,131.7800607,,,,,,0.75,,,,,,,,,,,,,,,,2.0,q1_q17_dr24_tce,,,,,,,,,,291.41833,42.579819,14.792,7032421,,FALSE POSITIVE,FALSE POSITIVE
K03449.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.01628561,0,10798838,,0.0,0,1,0,0,62.127677128,9.976e-06,-9.976e-06,172.0663,0.000123,-0.000123,1.158,0.057,-0.056,5.25005,0.00654,-0.00654,37430.0,44.8,-44.8,38.61,6.7,-5.02,402.0,,,6.15,3.38,-1.98,990.3,1.0,q1_q17_dr25_tce,5344.0,160.0,-144.0,4.494,0.117,-0.143,0.807,0.14,-0.105,292.52029,48.123531,14.822,10798838,,FALSE POSITIVE,FALSE POSITIVE
