kepoi_name,exoplanet_archive_disposition,disposition_using_kepler_data,status,planet_like_prob,planet_like_label,kepid_x,kepler_name_x,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,kepid_y,kepler_name_y,koi_disposition,koi_pdisposition
K04509.01,CANDIDATE,CANDIDATE,CANDIDATE,0.99762255,1,11350118,,0.942,0,0,0,0,12.003678,0.0001007,-0.0001007,134.71007,0.00664,-0.00664,0.076,0.368,-0.076,2.799,0.253,-0.253,281.7,28.1,-28.1,0.97,0.08,-0.09,503.0,,,15.12,4.91,-4.15,12.0,1.0,q1_q17_dr25_tce,4328.0,131.0,-131.0,4.654,0.056,-0.024,0.594,0.05,-0.056,291.69516,49.187859,15.675,11350118,,CANDIDATE,CANDIDATE
K04510.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.9992536,1,11671579,Kepler-1611 b,1.0,0,0,0,0,5.17624997,6.406e-05,-6.406e-05,133.7381,0.0118,-0.0118,0.097,0.37,-0.097,5.261,0.27,-0.27,78.7,6.8,-6.8,1.31,0.21,-0.29,1243.0,,,565.42,239.37,-235.53,13.4,1.0,q1_q17_dr25_tce,5578.0,83.0,-66.0,4.088,0.195,-0.09,1.497,0.237,-0.326,296.51205,49.72776,14.435,11671579,Kepler-1611 b,CONFIRMED,CANDIDATE
K04511.01,FALSE POSITIVE,FALSE POSITIVE,MODEL_POSITIVE,0.5361171,1,11553598,,,1,0,0,0,370.62071,0.05182,-0.05182,311.1842,0.0396,-0.0396,0.1419,0.3182,-0.1419,12.58,2.4,-2.4,344.3,54.7,-54.7,2.12,1.04,-0.25,295.0,,,1.78,2.55,-0.6,10.5,,,6432.0,149.0,-244.0,4.382,0.073,-0.294,1.136,0.556,-0.135,288.74072,49.543018,15.045,11553598,,FALSE POSITIVE,FALSE POSITIVE
K04512.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.012760167,0,12069414,,0.001,0,0,1,0,0.589458602,1.658e-06,-1.658e-06,131.82156,0.00261,-0.00261,0.086,0.368,-0.086,0.8278,0.0891,-0.0891,158.4,12.6,-12.6,0.98,0.13,-0.13,1848.0,,,2736.51,1408.14,-928.9,17.3,1.0,q1_q17_dr25_tce,5286.0,202.0,-184.0,4.517,0.095,-0.095,0.776,0.11,-0.099,295.45059,50.54211,15.314,12069414,,FALSE POSITIVE,FALSE POSITIVE
K04513.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.98815,1,9216775,Kepler-1612 b,0.872,0,0,0,0,3.91794676,2.674e-05,-2.674e-05,132.86384,0.00497,-0.00497,0.337,0.126,-0.337,2.549,0.163,-0.163,116.5,10.1,-10.1,0.94,0.11,-0.04,1030.0,,,266.81,86.69,-35.37,13.5,1.0,q1_q17_dr25_tce,5500.0,74.0,-82.0,4.547,0.019,-0.11,0.87,0.105,-0.035,291.25027,45.655071,14.75,9216775,Kepler-1612 b,CONFIRMED,CANDIDATE
K04581.01,CANDIDATE,CANDIDATE,CANDIDATE,0.99652666,1,2572029,,1.0,0,0,0,0,6.0059966,0.0001344,-0.0001344,133.404,0.0154,-0.0154,0.135,0.323,-0.135,3.096,0.552,-0.552,39.2,5.4,-5.4,0.73,0.22,-0.12,1130.0,,,385.87,346.44,-150.52,7.8,1.0,q1_q17_dr25_tce,6103.0,165.0,-202.0,4.331,0.115,-0.198,1.16,0.355,-0.191,290.60806,37.801891,13.549,2572029,,CANDIDATE,CANDIDATE
K04582.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9916366,1,7905106,,0.828,0,0,0,0,4.22426989,8.317e-05,-8.317e-05,132.3611,0.0146,-0.0146,0.716,0.264,-0.488,4.22,0.346,-0.346,13.6,1.4,-1.4,0.35,0.05,-0.02,1069.0,,,309.32,120.1,-59.11,11.0,1.0,q1_q17_dr25_tce,5735.0,103.0,-115.0,4.501,0.048,-0.104,0.883,0.121,-0.056,296.33688,43.60009,11.756,7905106,,CANDIDATE,CANDIDATE
K04583.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9929924,1,9007151,,,0,0,0,0,330.906041,0.006806,-0.006806,253.8224,0.015,-0.015,0.005,0.4585,-0.005,3.846,0.627,-0.627,740.0,146.0,-146.0,2.05,0.52,-0.15,225.0,,,0.6,0.48,-0.13,7.3,,,5461.0,171.0,-140.0,4.589,0.03,-0.157,0.769,0.197,-0.057,285.66843,45.374771,15.77,9007151,,CANDIDATE,CANDIDATE
K03168.01,CANDIDATE,CANDIDATE,CANDIDATE,0.99979824,1,4450844,,0.999,0,0,0,0,56.3479517,0.0009519,-0.0009519,163.3795,0.0155,-0.0155,0.768,0.187,-0.55,8.789,0.345,-0.345,43.6,3.3,-3.3,1.06,0.04,-0.04,586.0,,,27.97,3.68,-3.55,15.1,1.0,q1_q17_dr25_tce,5843.0,78.0,-78.0,4.086,0.012,-0.01,1.471,0.053,-0.059,287.31485,39.538181,10.455,4450844,,CANDIDATE,CANDIDATE
K04584.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.000786361,0,8443265,,,0,1,1,0,0.614701901,3.167e-06,-3.167e-06,132.08465,0.00453,-0.00453,0.2344,0.2451,-0.2344,0.947,0.155,-0.155,131.6,16.8,-16.8,0.82,0.14,-0.08,1656.0,,,1779.79,1016.34,-505.89,11.2,,,4954.0,189.0,-156.0,4.563,0.061,-0.121,0.724,0.118,-0.071,296.20569,44.498989,15.893,8443265,,FALSE POSITIVE,FALSE POSITIVE
K03185.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.11354126,0,3240406,,0.0,1,0,0,0,0.934181579,9.459e-06,-9.459e-06,132.39492,0.0076,-0.0076,0.62,0.33,-0.388,3.943,0.261,-0.261,12.1,0.8,-0.8,0.79,0.13,-0.13,3268.0,,,26937.31,10761.06,-8915.37,19.8,1.0,q1_q17_dr25_tce,7624.0,68.0,-91.0,4.029,0.11,-0.11,2.152,0.349,-0.349,292.77634,38.39397,11.219,3240406,,FALSE POSITIVE,FALSE POSITIVE
K04653.01,CANDIDATE,CANDIDATE,CANDIDATE,0.99959165,1,11181260,,0.939,0,0,0,0,19.9778599,0.0002715,-0.0002715,135.165,0.0106,-0.0106,0.172,0.278,-0.172,5.96,0.259,-0.259,83.4,7.6,-7.6,1.07,0.32,-0.13,773.0,,,84.29,72.59,-26.57,12.8,1.0,q1_q17_dr25_tce,6392.0,153.0,-192.0,4.399,0.065,-0.195,1.162,0.35,-0.14,286.56033,48.893051,13.52,11181260,,CANDIDATE,CANDIDATE
K04654.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.46888155,0,5090803,,,1,0,0,0,379.65261,0.05023,-0.05023,284.965,0.0891,-0.0891,0.1971,0.3043,-0.1968,19.04,3.8,-3.8,82.3,20.8,-20.8,1.2,0.38,-0.32,330.0,,,2.8,2.63,-1.45,8.0,,,6471.0,173.0,-198.0,4.141,0.27,-0.208,1.302,0.418,-0.339,289.2247,40.260818,13.223,5090803,,FALSE POSITIVE,FALSE POSITIVE
K04655.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9959727,1,2558163,,0.961,0,0,0,0,17.543847,0.001022,-0.001022,138.9151,0.061,-0.061,0.579,0.024,-0.472,5.948,0.702,-0.702,196.3,24.0,-24.0,1.15,0.3,-0.08,658.0,,,44.42,33.98,-10.34,9.9,1.0,q1_q17_dr25_tce,5957.0,159.0,-177.0,4.579,0.044,-0.176,0.791,0.206,-0.055,287.06534,37.899479,15.388,2558163,,CANDIDATE,CANDIDATE
K04656.01,CANDIDATE,CANDIDATE,CANDIDATE,0.99472094,1,8107611,,1.0,0,0,0,0,3.8183717,3.846e-05,-3.846e-05,133.90812,0.00708,-0.00708,0.878,0.067,-0.637,2.687,0.218,-0.218,50.8,5.0,-5.0,1.39,0.4,-0.36,1683.0,,,1894.37,1608.61,-1002.54,11.8,1.0,q1_q17_dr25_tce,6738.0,189.0,-260.0,4.109,0.209,-0.171,1.692,0.485,-0.436,295.24191,43.972599,13.821,8107611,,CANDIDATE,CANDIDATE
K04727.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.009877165,0,8377197,,,0,0,1,0,1.215181097,6.173e-06,-6.173e-06,131.50904,0.00413,-0.00413,0.1356,0.3088,-0.1356,1.295,0.177,-0.177,39.7,4.6,-4.6,0.87,0.48,-0.15,2230.0,,,5844.41,9448.24,-2396.0,11.8,1.0,q1_q17_dr24_tce,6717.0,151.0,-241.0,4.268,0.105,-0.314,1.365,0.747,-0.237,295.85498,44.301601,13.516,8377197,,FALSE POSITIVE,FALSE POSITIVE
